'0120050005125210355',2012-12-27 07:23:24,0,TPT
'0120050005125210054',2012-12-27 08:25:56,0,TPT
'01200500051252102N6',2012-12-27 07:57:34,0,TPT
'01200500051252101X4',2012-12-27 08:11:16,0,TPT
'0120050005125210DA2',2012-12-27 08:13:58,0,TPT
'01200500051252100L2',2012-12-27 08:37:29,0,TPT
'01200500051252102Z5',2012-12-27 08:28:31,0,TPT
'0120050005125210363',2012-12-27 07:24:47,0,TPT
'01200500051252102B1',2012-12-27 08:03:58,0,TPT
'0120050005125210194',2012-12-27 07:51:11,0,TPT
'01200500051252101H1',2012-12-27 07:50:07,0,TPT
'01200500051252100W1',2012-12-27 07:13:20,0,TPT
'01200500051252100H3',2012-12-27 08:43:22,0,TPT
'01200500051252101E1',2012-12-27 08:21:12,0,TPT
'0120050005125210117',2012-12-27 07:18:16,0,TPT
'01200500051252101N6',2012-12-27 07:35:14,0,TPT
'01200500051252100B2',2012-12-27 08:41:54,0,TPT
'0120050005125210283',2012-12-27 08:00:22,0,TPT
'01200500051252102E8',2012-12-27 08:04:07,0,TPT
'0120050005125210252',2012-12-27 08:00:06,0,TPT
'01200500051252101P1',2012-12-27 07:34:20,0,TPT
'0120050005125210368',2012-12-27 07:24:47,0,TPT
'01200500051252103F4',2012-12-27 07:30:17,0,TPT
'0120050005125210382',2012-12-27 07:48:55,0,TPT
'0120050005125210124',2012-12-27 07:19:05,0,TPT
'01200500051252100G8',2012-12-27 08:42:45,0,TPT
'0120050005125210352',2012-12-27 07:23:24,0,TPT
'01200500051252101N2',2012-12-27 07:35:14,0,TPT
'01200500051252101H5',2012-12-27 07:50:07,0,TPT
'01200500051252100G4',2012-12-27 08:42:45,0,TPT
'01200500051252100S6',2012-12-27 07:11:57,0,TPT
'01200500051252101I4',2012-12-27 07:45:02,0,TPT
'01200500051252102C4',2012-12-27 08:01:39,0,TPT
'01200500051252100E3',2012-12-27 08:40:10,0,TPT
'0120050005125210172',2012-12-27 07:49:56,0,TPT
'01200500051252100W6',2012-12-27 07:13:20,0,TPT
'0120050005125210058',2012-12-27 08:25:56,0,TPT
'01200500051252102Q6',2012-12-27 07:58:50,0,TPT
'01200500051252101Z1',2012-12-27 08:12:48,0,TPT
'01200500051252100J4',2012-12-27 08:36:06,0,TPT
'01200500051252102Y1',2012-12-27 07:27:29,0,TPT
'01200500051252101L8',2012-12-27 07:47:24,0,TPT
'01200500051252101A4',2012-12-27 07:17:31,0,TPT
'01200500051252101O4',2012-12-27 07:33:56,0,TPT
'01200500051252101Z6',2012-12-27 08:12:48,0,TPT
'0120050005125210145',2012-12-27 07:20:24,0,TPT
'01200500051252103G8',2012-12-27 07:44:54,0,TPT
'01200500051252100X5',2012-12-27 07:14:26,0,TPT
'01200500051252102L1',2012-12-27 07:56:16,0,TPT
'0120050005125210085',2012-12-27 08:28:42,0,TPT
'01200500051252101I1',2012-12-27 07:45:02,0,TPT
'01200500051252102W5',2012-12-27 07:48:39,0,TPT
